AGE,ID_CLIENT,CIBLE,YEARS_EMPLOYED,TOTAL_CREDIT,REMB_MENSUEL,CNT_FAM_MEMBERS,MONTANT_PRIX_BIENS,REVENU_TOTAL,SOURCE_EXTERNE_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_6,FLAG_DOCUMENT_8,TYPE_CONTRAT_Revolving loans,STATUT_FAMILIAL_Married,STATUT_FAMILIAL_Separated,STATUT_FAMILIAL_Single / not married,STATUT_FAMILIAL_Widow,PROPRIETAIRE_BIEN_IMMO_Y,TYPE_REVENUS_Maternity leave,TYPE_REVENUS_Pensioner,TYPE_REVENUS_State servant,TYPE_REVENUS_Unemployed,TYPE_REVENUS_Working,GENRE_M,NIVEAU_EDUCATION_Higher education,NIVEAU_EDUCATION_Incomplete higher,NIVEAU_EDUCATION_Lower secondary,NIVEAU_EDUCATION_Secondary / secondary special,PROPRIETAIRE_VOITURE_Y,nbr_membre
48,196888,0,0,1350000.0,39604.5,2.0,1350000.0,135000.0,0.7614431016075278,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
54,101392,0,2,573628.5,24435.0,2.0,463500.0,81000.0,0.3968247749007724,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1
25,435135,0,2,298512.0,19948.5,1.0,270000.0,112500.0,0.3853532616744645,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
30,396314,0,5,218016.0,17352.0,2.0,180000.0,81000.0,0.5456487314012373,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
44,341153,1,0,1006920.0,42790.5,2.0,900000.0,90000.0,0.4444425697060858,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
28,145376,0,2,109453.5,11916.0,2.0,99000.0,117000.0,0.3448878088481325,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
53,339498,0,3,808650.0,23773.5,2.0,675000.0,135000.0,0.578203685876198,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
54,157136,0,28,497520.0,31923.0,2.0,450000.0,135000.0,0.5430615496097092,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
49,420137,0,3,1515415.5,41800.5,2.0,1354500.0,157500.0,0.1179275585007437,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
23,360918,1,2,630000.0,34177.5,1.0,630000.0,135000.0,0.6224051053254432,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0
32,372086,0,6,272520.0,17545.5,3.0,225000.0,81000.0,0.7653140135083888,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
48,228714,0,14,755190.0,32125.5,2.0,675000.0,99000.0,0.2391679171505573,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
65,439852,0,-1000,337500.0,16875.0,2.0,337500.0,112500.0,0.6510678990452162,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1
38,401501,0,14,364896.0,31347.0,3.0,315000.0,180000.0,0.6796311915690905,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2
36,420282,0,7,1324440.0,47700.0,5.0,1170000.0,225000.0,0.5929551900463176,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
64,308021,0,-1000,364896.0,18760.5,2.0,315000.0,40500.0,0.6350987985609644,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
30,160328,0,1,247275.0,22810.5,2.0,225000.0,180000.0,0.6482658265981568,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
47,260310,0,1,523597.5,25317.0,2.0,468000.0,135000.0,0.3227191681522373,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1
26,425552,0,4,291384.0,20722.5,3.0,270000.0,54000.0,0.3615210855643757,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2
45,199577,0,2,270000.0,15075.0,1.0,270000.0,90000.0,0.6404737735921975,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
32,341989,0,4,405000.0,20250.0,3.0,405000.0,135000.0,0.4829845437730775,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2
25,115979,1,5,323388.0,21609.0,1.0,292500.0,76500.0,0.1438214795840371,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
59,181619,0,-1000,180000.0,16785.0,2.0,180000.0,135000.0,0.7472264496444061,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
58,436648,0,-1000,363190.5,28822.5,2.0,328500.0,135000.0,0.1577579508247989,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
61,197628,0,-1000,251091.0,27171.0,2.0,238500.0,90000.0,0.1942151121136184,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
60,165004,0,35,904500.0,38452.5,2.0,904500.0,112500.0,0.1720640618884363,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
29,361459,0,10,314055.0,11767.5,1.0,238500.0,67500.0,0.5162710844117503,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0
